,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,13,17,0,0,13,0,0,0,0,0,4,0,0,48,1
1,SetupJDK11,0,0,0,0,0,0,0,0,0,0,0,0,0,65,6
2,BuildwithMaven,48,48,0,0,48,0,0,0,0,0,0,0,0,17,264
