,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,598,685,0,0,595,0,0,3,0,0,90,0,0,3221,3
1,UseJava8,0,0,0,0,0,0,0,0,0,0,0,0,0,3909,4
2,Deployartifacts,3203,3224,0,0,3203,0,0,0,0,0,21,0,0,685,110
