,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-shanto-checkout,21,24,0,0,21,0,0,0,0,0,3,0,0,1945,2
1,SetupJavamatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,4
2,BuildwithMaven,1903,1945,0,0,1903,0,0,0,0,0,42,0,0,24,111
