,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses20,30,36,0,0,30,0,0,0,0,0,6,0,0,8,4
1,SetupJDKmatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
2,BuildwithMaven,8,8,0,0,8,0,0,0,0,0,0,0,0,36,56
3,ExtractMavenprojectversion,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
4,UploadArtifact,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21
