,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,599,696,0,0,596,0,0,3,0,0,100,0,0,3222,3
1,UseJava8,0,0,0,0,0,0,0,0,0,0,0,0,0,3921,4
2,Deployartifacts,3216,3225,0,0,3216,0,0,0,0,0,9,0,0,696,134
