,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,19,24,0,0,19,0,0,0,0,0,5,0,0,1926,1
1,SetupJavamatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,4
2,BuildwithMaven,1883,1926,0,0,1883,0,0,0,0,0,43,0,0,24,110
