,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses36,436,466,0,0,436,0,0,0,0,0,30,0,0,0,2
1,uses39,0,0,0,0,0,0,0,0,0,0,0,0,0,466,1
2,SetupJDKmatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0
3,BuildwithMaven,0,0,0,0,0,0,0,0,0,0,0,0,0,466,18
