,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,uses-checkout,20,26,0,0,20,0,0,0,0,0,6,0,0,1954,4
1,SetupJavamatrixjava,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,7
2,BuildwithMaven,1912,1954,0,0,1912,0,0,0,0,0,42,0,0,26,123
